	SampleID	SiteName	Station	Session	Date	Time	Temp	Salinity	DO	DO_sat	pH	Turbidity	TotalN	TotalP	Phosphate	Silicate	NNN	NH4	Lat	Long	QA issues or comments
1	KWP171107	Waipuilani Park	KWP	1	11/07/17	08:20	26.1	33.7	5.47	81.50	8.19	8.20	132.62	17.13	12.14	700.23	42.91	6.68	20.755056	-156.459602	
2	KKS171107	Kihei South (Lipoa)	KKS	1	11/07/17	09:05	26.8	34.7	5.97	90.50	8.22	5.17	141.30	13.44	8.81	395.31	25.26	5.24	20.747334	-156.457881	
3	KKP171107	Kalama Park	KKP	1	11/07/17	09:27	27.0	34.8	6.26	95.20	8.22	8.47	96.36	11.27	7.87	279.65	28.38	4.63	20.730973	-156.453720	
4	KCP171107	Cove Park	KCP	1	11/07/17	09:55	26.9	34.3	6.24	94.50	8.24	1.12	376.91	24.78	22.58	1017.21	224.04	31.10	20.727434	-156.450077	
5	KKO171107	Kamaole Beach I	KKO	1	11/07/17	10:23	27.7	35.0	6.44	98.70	8.27	1.00	146.98	11.93	7.35	397.99	24.47	4.70	20.721985	-156.448183	
6	KKT171107	Kamaole Beach III	KKT	1	11/07/17	10:50	28.0	35.6	6.36	98.90	8.26	1.25	154.58	11.85	7.46	193.70	7.81	7.54	20.712908	-156.446596	
7	MML171108	Makena Landing	MML	1	11/08/17	08:30	26.7	35.2	6.45	97.80	8.26	1.44	93.60	12.50	6.71	144.56	8.18	6.98	20.653913	-156.441174	
8	MMB171108	Maluaka Beach	MMB	1	11/08/17	08:52	26.9	35.4	6.43	98.10	8.28	0.62	84.92	9.60	4.72	81.36	4.39	1.90	20.645598	-156.443859	
9	MON171108	Oneuli	MON	1	11/08/17	09:27	26.8	35.5	6.07	92.50	8.19	1.15	70.62	12.35	4.68	153.48	5.54	4.61	20.639866	-156.447406	
10	MBS171108	Makena Beach Shoreline	MBS	1	11/08/17	09:57	26.7	35.4	6.55	99.50	8.26	0.72	69.05	8.83	5.35	84.66	3.04	1.14	20.630610	-156.446183	
11	KWP171121	Waipuilani Park	KWP	2	11/21/17	08:05	23.6	33.6	5.97	85.40	8.13	11.23	137.19	16.33	12.02	1010.94	76.49	4.43	20.755056	-156.459602	
12	KKS171121	Kihei South (Lipoa)	KKS	2	11/21/17	08:34	24.4	34.9	6.27	91.60	8.24	3.46	92.64	15.43	7.88	504.43	24.48	2.72	20.747334	-156.457881	
13	KKP171121	Kalama Park	KKP	2	11/21/17	09:00	23.7	34.8	6.56	94.80	8.20	3.48	125.30	14.12	7.48	503.06	50.25	6.49	20.730973	-156.453720	
14	KCP171121	Cove Park	KCP	2	11/21/17	09:20	25.3	34.2	6.41	94.70	8.17	0.96	277.25	19.96	18.25	1041.45	221.78	14.18	20.727434	-156.450077	
15	KKO171121	Kamaole Beach I	KKO	2	11/21/17	09:34	25.7	35.6	6.58	98.40	8.22	0.72	102.61	12.02	5.77	357.11	34.40	1.65	20.721985	-156.448183	
16	KKT171121	Kamaole Beach III	KKT	2	11/21/17	10:04	25.7	36.1	6.50	97.70	8.21	0.50	89.12	12.73	5.46	243.29	11.33	11.25	20.712908	-156.446596	
17	MML171122	Makena Landing	MML	2	11/22/17	08:05	25.5	36.1	6.47	96.70	8.24	0.56	154.60	15.00	6.47	101.16	3.67	4.80	20.653913	-156.441174	
18	MMB171122	Maluaka Beach	MMB	2	11/22/17	08:40	25.4	36.2	6.58	98.30	8.24	0.51	73.02	13.80	4.04	95.29	7.14	2.23	20.645598	-156.443859	
19	MON171122	Oneuli	MON	2	11/22/17	09:10	25.6	36.1	6.78	101.50	8.25	2.00	70.44	13.04	3.71	75.02	4.30	2.96	20.639866	-156.447406	
20	MBS171122	Makena Beach Shoreline	MBS	2	11/22/17	09:30	26.1	35.9	6.59	99.30	8.25	0.44	71.47	11.51	3.27	43.37	1.19	1.90	20.630610	-156.446183	
21	MAN171122	Ahihi North	MAN	2	11/22/17	10:15	25.7	36.1	7.17	107.50	8.28	0.66	96.24	10.22	4.33	77.62	2.96	5.30	20.618366	-156.437572	
22	MAS171122	Ahihi South	MAS	2	11/22/17	10:40	25.5	35.6	6.85	102.30	8.27	0.92	74.60	11.40	5.96	331.76	14.15	4.25	20.765132	-156.459344	
